,time,price,text,path,value,group,time1,time2
103,1546209904.3001802,41,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,408.51181411743164,400
104,1546209904.304091,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,408.51572489738464,400
105,1546209904.3070168,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,408.5186507701874,400
106,1546209904.307637,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,408.5192708969116,400
107,1546209909.318005,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,413.529639005661,420
108,1546209914.3255384,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,418.5371723175049,420
109,1546209919.343615,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,423.5552489757538,420
110,1546209924.358766,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,428.57039999961853,420
111,1546209929.3833961,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,433.5950300693512,440
112,1546209934.395076,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,438.6067099571228,440
113,1546209939.407934,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,443.61956787109375,440
114,1546209944.42318,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,448.63481402397156,440
115,1546209953.7147148,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,457.92634868621826,460
116,1546209958.7226956,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,462.9343295097351,460
117,1546209963.7419364,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,467.95357036590576,460
118,1546209968.778354,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,472.9899878501892,480
119,1546209973.819526,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,478.0311598777771,480
120,1546209978.8489652,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,483.0605990886688,480
0,1546209501.4490962,101,('127.0.0.1',/tmp/consumer_b6ee024b243b018599addd719365f00b_132_1546209494.257038_-1_3_log.csv,132,3,5.6607301235198975,0
1,1546209509.736827,101,('127.0.0.1',/tmp/consumer_b6ee024b243b018599addd719365f00b_132_1546209494.257038_-1_3_log.csv,132,3,13.948460817337036,20
2,1546209541.787074,101,('127.0.0.1',/tmp/consumer_b6ee024b243b018599addd719365f00b_132_1546209494.257038_-1_3_log.csv,132,3,45.99870800971985,40
