,time,price,hash,spot,value,delta
1,22.0,101,99e83a03703108ad696653458d9e6cb9,/tmp/spot101_54616_1546209500.265468_log.csv,136,35
0,22.0,101,197ee8948d527da0a852e8f1f0661ff0,/tmp/spot101_55202_1546209509.091852_log.csv,103,2
1,23.0,101,2b1cfb2b0f39fdf1cbbf5feafd2e560a,/tmp/spot101_54388_1546209497.0837371_log.csv,105,4
0,23.0,101,463c135c6c11a7f696d485cea90f444a,/tmp/spot101_55232_1546209509.468012_log.csv,125,24
1,23.0,101,a012bc6eb35446f8d469c569edc1c423,/tmp/spot101_54464_1546209498.323662_log.csv,130,29
0,23.0,101,02e95c383995440ceb65b872176aa9d8,/tmp/spot101_55063_1546209507.202053_log.csv,123,22
1,23.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54619_1546209500.270126_log.csv,119,18
0,23.0,101,197ee8948d527da0a852e8f1f0661ff0,/tmp/spot101_55382_1546209511.71356_log.csv,103,2
1,23.0,101,aa600c0e34928d9e5b68f3e1a17043b1,/tmp/spot101_54334_1546209495.990119_log.csv,108,7
1,23.0,101,5cfa05c351c217e5a2aa1169f53b4b9a,/tmp/spot101_54360_1546209496.540086_log.csv,111,10
0,23.0,101,02e95c383995440ceb65b872176aa9d8,/tmp/spot101_54709_1546209501.531751_log.csv,123,22
0,23.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_55402_1546209511.951989_log.csv,134,33
0,23.0,101,463c135c6c11a7f696d485cea90f444a,/tmp/spot101_55404_1546209511.9563708_log.csv,125,24
1,23.0,101,463c135c6c11a7f696d485cea90f444a,/tmp/spot101_54424_1546209497.7825642_log.csv,125,24
0,23.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_54942_1546209505.1127622_log.csv,121,20
0,23.0,101,ce1342a6c7c2c424307f9da86b481c59,/tmp/spot101_55080_1546209507.700827_log.csv,124,23
1,23.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54504_1546209498.90372_log.csv,119,18
0,23.0,101,8f2ed82b4b066a70e2edb7c78b2b1c72,/tmp/spot101_55312_1546209510.470672_log.csv,120,19
0,23.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_54974_1546209505.906523_log.csv,121,20
0,23.0,101,197ee8948d527da0a852e8f1f0661ff0,/tmp/spot101_55020_1546209506.432988_log.csv,103,2
0,23.0,101,8a16d5f6e568aebdc1b673dbf9437782,/tmp/spot101_54936_1546209505.091585_log.csv,113,12
1,23.0,102,5cfa05c351c217e5a2aa1169f53b4b9a,/tmp/spot101_54475_1546209498.434166_log.csv,111,9
0,23.0,101,8a16d5f6e568aebdc1b673dbf9437782,/tmp/spot101_55258_1546209509.931242_log.csv,113,12
1,23.0,101,fd5bb4377097654d25bb150b155d64a8,/tmp/spot101_54596_1546209500.0273721_log.csv,109,8
1,23.0,101,197ee8948d527da0a852e8f1f0661ff0,/tmp/spot101_54561_1546209499.446364_log.csv,103,2
1,23.0,102,ce1342a6c7c2c424307f9da86b481c59,/tmp/spot101_54404_1546209497.4220748_log.csv,124,22
0,23.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_55667_1546209516.4966521_log.csv,138,37
0,23.0,101,02e95c383995440ceb65b872176aa9d8,/tmp/spot101_55384_1546209511.720265_log.csv,123,22
0,23.0,101,99e83a03703108ad696653458d9e6cb9,/tmp/spot101_55598_1546209515.274533_log.csv,136,35
0,23.0,101,8f2ed82b4b066a70e2edb7c78b2b1c72,/tmp/spot101_54917_1546209504.9176278_log.csv,120,19
0,23.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54961_1546209505.691339_log.csv,134,33
